fusion_id,qsim_tester,qsim_line,qsim_both,V_flag_analyze,M_flag_analyze,M_num_reps,V_num_reps,M_tester_total_1,M_Line_total_1,M_Both_total_1,M_tester_total_2,M_Line_total_2,M_Both_total_2,V_tester_total_1,V_Line_total_1,V_Both_total_1,V_tester_total_2,V_Line_total_2,V_Both_total_2,line
Exon_228,0.311073059,0.259703196,0.429223744,1,1,2,2,32,37,86,26,34,82,21,25,63,21,33,68,sample1
Exon_229,0.419047619,0.580952381,0,1,1,2,2,22,32,0,19,37,0,20,16,0,14,31,0,sample1
Exon_230,0.477272727,0.522727273,0,1,1,2,2,18,28,0,28,25,0,21,13,0,28,21,0,sample1
Exon_231,0.305584826,0.348788198,0.345626976,1,1,2,2,45,47,59,50,66,58,38,33,35,44,56,56,sample1
Exon_232,0.231584526,0.264440911,0.503974563,1,1,2,2,52,39,130,33,36,93,34,29,78,35,42,97,sample1
Exon_233,0.462025316,0.392405063,0.14556962,1,1,2,2,37,42,19,33,43,15,21,33,14,29,31,7,sample1
Exon_234,0.523076923,0.476923077,0,1,1,2,2,34,24,0,25,36,0,18,27,0,27,34,0,sample1
Exon_235,0.278576616,0.410893246,0.310530138,1,1,2,2,21,31,32,25,21,29,12,10,27,15,16,23,sample1
Exon_236,0.22088215,0.225017229,0.55410062,1,1,2,2,36,34,46,26,25,32,20,14,27,17,16,25,sample1
Exon_237,0.436317781,0.268600252,0.295081967,1,1,2,2,19,18,9,14,11,4,15,11,6,16,22,5,sample1
Exon_238,0.302426135,0.357674754,0.339899111,1,1,2,2,45,33,22,33,14,7,46,28,12,49,13,13,sample1
Exon_239,0.333228544,0.293932726,0.37283873,1,1,2,2,28,43,12,19,17,8,33,15,9,30,12,7,sample1
Exon_240,0.282608696,0.282608696,0.434782609,1,1,2,2,33,14,36,24,22,37,13,15,17,21,18,21,sample1
Exon_241,0.3375,0.3375,0.325,1,1,2,2,192,213,450,219,276,497,93,69,172,124,91,300,sample1
Exon_242,0.377672209,0.376880443,0.245447348,1,1,2,2,441,355,154,540,395,234,143,237,104,292,283,142,sample1
Exon_243,0.248253968,0.247619048,0.504126984,1,1,2,2,142,153,339,82,140,256,399,429,982,479,590,1105,sample1
Exon_244,0.140449438,0.140449438,0.719101124,1,1,2,2,24,41,135,15,27,119,52,109,370,64,121,406,sample1
Exon_245,0.176020408,0.176020408,0.647959184,1,1,2,2,43,26,404,33,19,286,59,33,568,76,54,636,sample1
Exon_246,0.307575758,0.307575758,0.384848485,1,1,2,2,85,160,69,83,113,43,144,237,81,152,286,128,sample1
Exon_247,0.190461908,0.174565087,0.634973005,1,1,2,2,1984,206,4012,2176,238,4427,1311,146,2573,1432,154,2975,sample1
Exon_248,0.43220339,0.43220339,0.13559322,1,1,2,2,92,103,157,110,94,155,60,48,92,55,65,120,sample1
Exon_249,0.153846154,0.246153846,0.6,1,1,2,2,162,117,825,155,105,806,106,75,477,111,76,527,sample1
Exon_250,0.505319149,0.494680851,0,1,1,2,2,14,50,4,15,67,0,17,22,1,24,27,0,sample1
Exon_251,0.338196286,0.449602122,0.212201592,1,1,2,2,32,65,2,22,69,1,16,31,1,23,25,1,sample1
Exon_252,0.571428571,0.428571429,0,1,1,2,2,31,91,2,12,61,3,18,40,1,25,45,1,sample1
